BHK,Location,Total sqft,price_sqft,price,Bhk
2 BHK Apartment,Thane West,950,"10,526",1 Cr,2
3 BHK Apartment,Thane West,1200,"10,000",1.2 Cr,3
1 BHK Apartment,Thane West,555,"11,711",65 L,1
2 BHK Apartment,Thane West,1050,"9,047",95 L,2
1 BHK Apartment,Thane West,711,"9,987",71.01 L,1
1 BHK Apartment,Mira Road East,850,"8,588",73 L,1
2 BHK Apartment,Thane West,1250,"14,400",1.8 Cr,2
3 BHK Apartment,Andheri West,1600,"16,875",2.7 Cr,3
2 BHK Apartment,Thane West,1050,"11,904",1.25 Cr,2
2 BHK Apartment,Thane West,1080,"11,111",1.2 Cr,2
1 BHK Apartment,Malad West,600,"17,500",1.05 Cr,1
1 BHK Apartment,Malad West,600,"15,833",95 L,1
1 BHK Apartment,Malad West,600,"16,666",1 Cr,1
2 BHK Apartment,Mira Road East,1062,"8,662",92 L,2
1 BHK Apartment,Mira Road East,711,"9,423",67 L,1
2 BHK Apartment,Mira Road East,1100,"7,727",85 L,2
1 BHK Apartment,Mira Road East,750,"9,066",68 L,1
1 BHK Apartment,Mira Road East,750,"8,666",65 L,1
1 BHK Apartment,Mira Road East,660,"9,696",64 L,1
1 BHK Apartment,Mira Road East,660,"9,848",65 L,1
2 BHK Apartment,Kandivali East,1250,"18,800",2.35 Cr,2
2 BHK Apartment,Badlapur East,885,"4,497",39.8 L,2
2 BHK Apartment,Bhayandar East,1080,"7,870",85 L,2
1 BHK Apartment,Bhayandar East,740,"9,324",69 L,1
1 BHK Apartment,Bhayandar East,740,"9,189",68 L,1
2 BHK Apartment,Goregaon West,1000,"24,000",2.4 Cr,2
4 BHK Apartment,Kandivali East,2500,"21,200",5.3 Cr,4
2 BHK Apartment,Kandivali East,885,"19,774",1.75 Cr,2
1 BHK Apartment,Borivali East,625,"18,400",1.15 Cr,1
1 BHK Apartment,Mira Road East,675,"9,629",65 L,1
2 BHK Apartment,Panvel,850,"9,176",78 L,2
3 BHK Apartment,Andheri West,1550,"25,806",4 Cr,3
2 BHK Apartment,Thane West,1040,"12,019",1.25 Cr,2
2 BHK Apartment,Thane West,1050,"10,952",1.15 Cr,2
2 BHK Apartment,Mira Road East,990,"7,777",77 L,2
1 BHK Apartment,Mira Road East,756,"9,246",69.9 L,1
2 BHK Apartment,Andheri West,1250,"16,640",2.08 Cr,2
2 BHK Apartment,Mira Road East,955,"11,247",1.07 Cr,2
2 BHK Apartment,Mira Road East,1045,"13,397",1.4 Cr,2
1 BHK Apartment,Mira Road East,750,"10,000",75 L,1
1 BHK Apartment,Mira Road East,755,"8,344",63 L,1
3 BHK Apartment,Mira Road East,1300,"10,769",1.4 Cr,3
2 BHK Apartment,Thane West,1250,"14,400",1.8 Cr,2
1 BHK Apartment,Bhayandar East,750,"11,200",84 L,1
2 BHK Apartment,Malad West,750,"22,000",1.65 Cr,2
2 BHK Apartment,Malad West,700,"22,142",1.55 Cr,2
2 BHK Apartment,Thane West,1018,"13,948",1.42 Cr,2
1 BHK Apartment,Malad West,650,"15,692",1.02 Cr,1
1 BHK Apartment,Malad West,600,"16,333",98 L,1
2 BHK Apartment,Karjat,980,"2,704",26.5 L,2
2 BHK Apartment,Karjat,950,"2,789",26.5 L,2
1 BHK Apartment,Karjat,650,"3,046",19.8 L,1
1 BHK Apartment,Mira Road East,850,"8,588",73 L,1
2 BHK Apartment,Karjat,950,"2,842",27 L,2
2 BHK Apartment,Karjat,850,"3,117",26.5 L,2
1 BHK Apartment,Karjat,680,"2,823",19.2 L,1
2 BHK Apartment,Karjat,950,"2,842",27 L,2
1 BHK Apartment,Karjat,600,"3,083",18.5 L,1
2 BHK Apartment,Karjat,900,"2,500",22.5 L,2
2 BHK Apartment,Thane West,740,"12,432",92 L,2
2 BHK Apartment,Malad West,700,"22,142",1.55 Cr,2
2 BHK Apartment,Thane West,1018,"13,948",1.42 Cr,2
1 BHK Apartment,Malad West,650,"15,692",1.02 Cr,1
1 BHK Apartment,Malad West,600,"16,333",98 L,1
2 BHK Apartment,Thane West,740,"12,432",92 L,2
2 BHK Apartment,Malad West,750,"22,000",1.65 Cr,2
1 BHK Apartment,Malad West,750,"14,266",1.07 Cr,1
2 BHK Apartment,Thane West,1080,"13,888",1.5 Cr,2
1 BHK Apartment,Kalamboli,723,"7,883",57 L,1
1 BHK Apartment,Karjat,680,"2,735",18.6 L,1
2 BHK Apartment,Karjat,950,"2,789",26.5 L,2
1 BHK Apartment,Karjat,650,"3,046",19.8 L,1
3 BHK Apartment,Kalamboli,1425,"8,771",1.25 Cr,3
1 BHK Apartment,Kalamboli,667,"8,245",55 L,1
2 BHK Apartment,Karjat,980,"2,704",26.5 L,2
2 BHK Apartment,Kalamboli,1167,"7,883",92 L,2
2 BHK Apartment,Kalamboli,1095,"8,219",90 L,2
2 BHK Apartment,Karjat,950,"2,842",27 L,2
2 BHK Apartment,Karjat,850,"3,117",26.5 L,2
1 BHK Apartment,Karjat,680,"2,823",19.2 L,1
1 BHK Apartment,Mira Road East,730,"8,800",64.24 L,1
1 BHK Apartment,Mira Road East,730,"8,800",64.24 L,1
1 BHK Apartment,Malad West,750,"14,266",1.07 Cr,1
2 BHK Apartment,Thane West,1080,"13,888",1.5 Cr,2
2 BHK Apartment,Thane West,950,"10,526",1 Cr,2
1 BHK Apartment,Greater Khanda,788,"8,248",65 L,1
3 BHK Apartment,Kalamboli,1425,"8,771",1.25 Cr,3
1 BHK Apartment,Kalamboli,667,"8,245",55 L,1
2 BHK Apartment,Karjat,980,"2,704",26.5 L,2
2 BHK Apartment,Karjat,950,"2,789",26.5 L,2
1 BHK Apartment,Karjat,650,"3,046",19.8 L,1
2 BHK Apartment,Kalamboli,1167,"7,883",92 L,2
2 BHK Apartment,Kalamboli,1095,"8,219",90 L,2
2 BHK Apartment,Thane West,740,"12,432",92 L,2
1 BHK Apartment,Panvel,700,"9,000",63 L,1
1 BHK Apartment,Karjat,680,"3,088",21 L,1
2 BHK Apartment,Malad West,750,"22,000",1.65 Cr,2
2 BHK Apartment,Panvel,700,"13,571",95 L,2
1 BHK Apartment,Koper Khairane,550,"6,363",35 L,1
1 BHK Apartment,Koper Khairane,560,"10,178",57 L,1
1 BHK Apartment,Karjat,680,"3,088",21 L,1
2 BHK Apartment,Panvel,700,"13,571",95 L,2
2 BHK Apartment,Thane West,950,"10,526",1 Cr,2
1 BHK Apartment,Greater Khanda,788,"8,248",65 L,1
1 BHK Apartment,Panvel,700,"9,285",65 L,1
2 BHK Apartment,Panvel,900,"8,888",80 L,2
3 BHK Apartment,Powai,1400,"28,214",3.95 Cr,3
1 BHK Apartment,Bhiwandi,570,"4,210",24 L,1
2 BHK Apartment,Panvel,850,"7,294",62 L,2
1 BHK Apartment,Palava,425,"5,882",25 L,1
1 BHK Apartment,Atgaon,460,"3,478",16 L,1
2 BHK Apartment,Badlapur East,654,"6,269",40.99 L,2
2 BHK Apartment,Badlapur East,661,"6,203",41 L,2
2 BHK Apartment,Badlapur East,683,"6,296",43 L,2
1 BHK Apartment,Malad West,400,"13,750",55 L,1
1 BHK Apartment,Mira Road East,426,"21,126",90 L,1
1 BHK Apartment,Mira Road East,360,"23,333",84 L,1
3 BHK Apartment,Mira Road East,640,"22,656",1.45 Cr,3
1 BHK Apartment,Mira Road East,127,"56,692",72 L,1
1 BHK Apartment,Mira Road East,308,"24,025",74 L,1
1 BHK Apartment,Mira Road East,357,"22,969",82 L,1
3 BHK Apartment,Mira Road East,633,"22,116",1.4 Cr,3
1 BHK Apartment,Mira Road East,339,"22,713",77 L,1
1 BHK Apartment,Mira Road East,157,"46,496",73 L,1
2 BHK Apartment,Mira Road East,506,"20,750",1.05 Cr,2
1 BHK Apartment,Mira Road East,323,"23,219",75 L,1
2 BHK Apartment,Mira Road East,527,"20,872",1.1 Cr,2
1 BHK Apartment,Mira Road East,368,"23,641",87 L,1
1 BHK Apartment,Mira Road East,417,"21,342",89 L,1
2 BHK Apartment,Mira Road East,485,"19,587",95 L,2
1 BHK Apartment,Mira Road East,349,"22,922",80 L,1
1 BHK Apartment,Mira Road East,400,"22,000",88 L,1
1 BHK Apartment,Mira Road East,347,"22,766",79 L,1
1 BHK Apartment,Mira Road East,365,"23,561",86 L,1
1 BHK Apartment,Chembur,488,"24,590",1.19 Cr,1
2 BHK Apartment,Chembur,716,"24,000",1.71 Cr,2
1 BHK Apartment,Chembur,464,"24,569",1.14 Cr,1
2 BHK Apartment,Chembur,700,"24,000",1.68 Cr,2
1 BHK Apartment,Chembur,479,"24,000",1.14 Cr,1
1 BHK Apartment,Malad West,400,"13,750",55 L,1
2 BHK Apartment,Kharghar,735,"13,332",97.99 L,2
2 BHK Apartment,Kharghar,636,"13,332",84.79 L,2
1 BHK Apartment,Kharghar,417,"13,332",55.59 L,1
1 BHK Apartment,Kharghar,468,"13,332",62.39 L,1
1 BHK Apartment,Chembur,319,"19,435",62 L,1
1 BHK Apartment,Chembur,309,"19,417",60 L,1
2 BHK Apartment,Kharghar,1150,"12,173",1.4 Cr,2
3 BHK Apartment,Kharghar,1750,"10,285",1.8 Cr,3
1 BHK Apartment,Kharghar,750,"7,333",55 L,1
2 BHK Apartment,Kharghar,1250,"10,400",1.3 Cr,2
2 BHK Apartment,Kharghar,1150,"10,869",1.25 Cr,2
3 BHK Apartment,Kharghar,1880,"10,638",2 Cr,3
3 BHK Apartment,Kharghar,1665,"8,408",1.4 Cr,3
2 BHK Apartment,Kharghar,1175,"11,659",1.37 Cr,2
2 BHK Apartment,Kharghar,1150,"10,869",1.25 Cr,2
2 BHK Apartment,Kharghar,1200,"9,166",1.1 Cr,2
3 BHK Apartment,Kharghar,1550,"11,612",1.8 Cr,3
2 BHK Apartment,Kharghar,1750,"10,000",1.75 Cr,2
2 BHK Apartment,Kharghar,1100,"9,545",1.05 Cr,2
2 BHK Apartment,Kharghar,1150,"9,391",1.08 Cr,2
3 BHK Apartment,Kharghar,1650,"10,909",1.8 Cr,3
3 BHK Apartment,Kharghar,1630,"12,208",1.99 Cr,3
3 BHK Apartment,Kharghar,1675,"10,746",1.8 Cr,3
3 BHK Apartment,Kharghar,1950,"9,692",1.89 Cr,3
2 BHK Apartment,Kharghar,1240,"10,483",1.3 Cr,2
2 BHK Apartment,Kharghar,950,"10,526",1 Cr,2
3 BHK Apartment,Kharghar,1350,"10,370",1.4 Cr,3
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
2 BHK Apartment,Dombivali,576,"10,416",60 L,2
2 BHK Apartment,Dombivali,576,"10,416",60 L,2
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
2 BHK Apartment,Dombivali,576,"10,416",60 L,2
1 BHK Apartment,Dombivali,433,"10,392",45 L,1
1 BHK Apartment,Dombivali,433,"10,392",45 L,1
2 BHK Apartment,Dombivali,694,"10,230",71 L,2
2 BHK Apartment,Dombivali,694,"10,230",71 L,2
2 BHK Apartment,Dombivali,656,"11,221",73.5 L,2
2 BHK Apartment,Dombivali,678,"12,555",85 L,2
2 BHK Apartment,Dombivali,656,"11,221",73.5 L,2
2 BHK Apartment,Dombivali,656,"11,221",73.5 L,2
2 BHK Apartment,Dombivali,678,"12,555",85 L,2
2 BHK Apartment,Dombivali,678,"12,555",85 L,2
3 BHK Apartment,Dombivali,1043,"11,806",1.23 Cr,3
3 BHK Apartment,Dombivali,1043,"11,806",1.23 Cr,3
3 BHK Apartment,Dombivali,768,"11,812",90.6 L,3
3 BHK Apartment,Dombivali,768,"11,812",90.6 L,3
3 BHK Apartment,Dombivali,1034,"11,810",1.22 Cr,3
3 BHK Apartment,Dombivali,1034,"11,810",1.22 Cr,3
3 BHK Apartment,Dombivali,1126,"11,822",1.33 Cr,3
3 BHK Apartment,Dombivali,1126,"11,822",1.33 Cr,3
1 BHK Apartment,Dombivali,415,"11,204",46.5 L,1
1 BHK Apartment,Dombivali,415,"11,204",46.5 L,1
2 BHK Apartment,Dombivali,666,"11,219",74.61 L,2
2 BHK Apartment,Dombivali,666,"11,219",74.61 L,2
1 BHK Apartment,Virar,511,"7,877",40.25 L,1
2 BHK Apartment,Virar,702,"8,333",58.49 L,2
1 BHK Apartment,Virar,511,"7,877",40.25 L,1
2 BHK Apartment,Virar,617,"7,942",49 L,2
1 BHK Apartment,Virar,473,"7,609",35.99 L,1
1 BHK Apartment,Virar,473,"7,609",35.99 L,1
2 BHK Apartment,Virar,617,"7,942",49 L,2
3 BHK Apartment,Mira Road East,1235,"10,364",1.28 Cr,3
2 BHK Apartment,Wadala,689,"35,268",2.43 Cr,2
3 BHK Apartment,Wadala,1046,"36,998",3.87 Cr,3
2 BHK Apartment,Wadala,735,"37,142",2.73 Cr,2
2 BHK Apartment,Wadala,739,"39,242",2.9 Cr,2
3 BHK Apartment,Wadala,1063,"40,733",4.33 Cr,3
3 BHK Apartment,Wadala,1232,"36,363",4.48 Cr,3
3 BHK Apartment,Koper Khairane,1000,"13,500",1.35 Cr,3
2 BHK Apartment,Ghansoli,1300,"12,692",1.65 Cr,2
1 BHK Apartment,Ghansoli,650,"12,307",80 L,1
1 BHK Apartment,Ghansoli,715,"10,489",75 L,1
4 BHK Apartment,Ghansoli,3605,"14,563",5.25 Cr,4
2 BHK Apartment,Ghansoli,1300,"15,769",2.05 Cr,2
3 BHK Apartment,Kharghar,1350,"10,370",1.4 Cr,3
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
2 BHK Apartment,Dombivali,576,"10,416",60 L,2
2 BHK Apartment,Dombivali,576,"10,416",60 L,2
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
2 BHK Apartment,Dombivali,576,"10,416",60 L,2
1 BHK Apartment,Dombivali,433,"10,392",45 L,1
1 BHK Apartment,Dombivali,433,"10,392",45 L,1
2 BHK Apartment,Dombivali,694,"10,230",71 L,2
2 BHK Apartment,Dombivali,694,"10,230",71 L,2
2 BHK Apartment,Dombivali,656,"11,221",73.5 L,2
2 BHK Apartment,Dombivali,678,"12,555",85 L,2
2 BHK Apartment,Dombivali,656,"11,221",73.5 L,2
2 BHK Apartment,Dombivali,656,"11,221",73.5 L,2
2 BHK Apartment,Dombivali,678,"12,555",85 L,2
2 BHK Apartment,Dombivali,678,"12,555",85 L,2
3 BHK Apartment,Dombivali,1043,"11,806",1.23 Cr,3
3 BHK Apartment,Dombivali,1043,"11,806",1.23 Cr,3
3 BHK Apartment,Dombivali,768,"11,812",90.6 L,3
1 BHK Apartment,Shil Phata,471,"7,429",34.99 L,1
2 BHK Apartment,Seawoods,1150,"10,434",1.2 Cr,2
3 BHK Apartment,Nerul,1675,"14,925",2.5 Cr,3
2 BHK Apartment,Seawoods,1300,"15,384",2 Cr,2
2 BHK Apartment,Kharghar,1275,"12,941",1.65 Cr,2
3 BHK Apartment,Bandra West,1100,"36,363",4 Cr,3
2 BHK Apartment,Naigaon East,978,"4,984",48.75 L,2
2 BHK Apartment,Naigaon East,978,"4,856",47.5 L,2
2 BHK Apartment,Naigaon East,978,"4,703",46 L,2
2 BHK Apartment,Mira Road East,1050,"7,523",79 L,2
2 BHK Apartment,Mira Road East,1080,"8,333",90 L,2
1 BHK Apartment,Mira Road East,760,"9,868",75 L,1
3 BHK Apartment,Mira Road East,1100,"10,909",1.2 Cr,3
1 BHK Apartment,Mira Road East,750,"7,866",59 L,1
2 BHK Apartment,Mira Road East,1080,"8,333",90 L,2
1 BHK Apartment,Mira Road East,740,"7,162",53 L,1
1 BHK Apartment,Mira Road East,750,"10,133",76 L,1
3 BHK Apartment,Mira Road East,1350,"11,222",1.51 Cr,3
3 BHK Apartment,Mira Road East,1350,"11,185",1.51 Cr,3
2 BHK Apartment,Mira Road East,1010,"10,396",1.05 Cr,2
3 BHK Apartment,Sion,800,"24,375",1.95 Cr,3
2 BHK Apartment,Sion,600,"24,166",1.45 Cr,2
2 BHK Apartment,Kharghar,575,"15,130",87 L,2
3 BHK Apartment,Kharghar,929,"15,069",1.4 Cr,3
1 BHK Apartment,Ulwe,590,"5,593",33 L,1
1 BHK Apartment,Ulwe,560,"5,357",30 L,1
3 BHK Apartment,Powai,1335,"32,584",4.35 Cr,3
2 BHK Apartment,Mira Road East,1050,"7,523",79 L,2
2 BHK Apartment,Mira Road East,1080,"8,333",90 L,2
1 BHK Apartment,Mira Road East,760,"9,868",75 L,1
3 BHK Apartment,Mira Road East,1100,"10,909",1.2 Cr,3
1 BHK Apartment,Mira Road East,750,"7,866",59 L,1
2 BHK Apartment,Mira Road East,1080,"8,333",90 L,2
1 BHK Apartment,Mira Road East,740,"7,162",53 L,1
3 BHK Apartment,Mira Road East,1350,"11,222",1.51 Cr,3
3 BHK Apartment,Mira Road East,1350,"11,185",1.51 Cr,3
2 BHK Apartment,Mira Road East,1010,"10,396",1.05 Cr,2
2 BHK Apartment,Mira Road East,995,"10,150",1.01 Cr,2
1 BHK Apartment,Mira Road East,710,"10,422",74 L,1
1 BHK Apartment,Mira Road East,690,"10,434",72 L,1
3 BHK Apartment,Mira Road East,1350,"11,185",1.51 Cr,3
2 BHK Apartment,Mira Road East,1010,"10,396",1.05 Cr,2
2 BHK Apartment,Mira Road East,995,"10,150",1.01 Cr,2
1 BHK Apartment,Mira Road East,710,"10,422",74 L,1
1 BHK Apartment,Mira Road East,690,"10,434",72 L,1
2 BHK Apartment,Mira Road East,1010,"12,079",1.22 Cr,2
1 BHK Apartment,Mira Road East,693,"9,235",64 L,1
1 BHK Apartment,Mira Road East,710,"8,309",59 L,1
1 BHK Apartment,Mira Road East,690,"8,260",57 L,1
2 BHK Apartment,Mira Road East,1010,"7,722",78 L,2
1 BHK Apartment,Mira Road East,700,"9,642",67.5 L,1
1 BHK Apartment,Mira Road East,745,"9,194",68.5 L,1
2 BHK Apartment,Mira Road East,1050,"7,523",79 L,2
2 BHK Apartment,Mira Road East,1080,"8,333",90 L,2
1 BHK Apartment,Mira Road East,760,"9,868",75 L,1
3 BHK Apartment,Mira Road East,1100,"10,909",1.2 Cr,3
1 BHK Apartment,Mira Road East,750,"7,866",59 L,1
2 BHK Apartment,Mira Road East,1080,"8,333",90 L,2
1 BHK Apartment,Mira Road East,740,"7,162",53 L,1
1 BHK Apartment,Greater Khanda,622,"8,360",52 L,1
2 BHK Apartment,Kalwa,1000,"9,200",92 L,2
1 BHK Apartment,Virar,700,"4,714",33 L,1
1 BHK Apartment,Virar,610,"5,655",34.5 L,1
1 BHK Apartment,Virar,650,"5,230",34 L,1
2 BHK Apartment,Virar,950,"5,473",52 L,2
2 BHK Apartment,Virar,1050,"5,619",59 L,2
2 BHK Apartment,Virar,950,"5,157",49 L,2
2 BHK Apartment,Virar West,980,"3,877",38 L,2
1 BHK Apartment,Virar,620,"4,838",30 L,1
2 BHK Apartment,Virar,950,"4,421",42 L,2
1 BHK Apartment,Virar,650,"5,692",37 L,1
2 BHK Apartment,Virar,950,"3,789",36 L,2
2 BHK Apartment,Virar,860,"4,825",41.5 L,2
1 BHK Apartment,Virar,650,"5,000",32.5 L,1
2 BHK Apartment,Virar,865,"4,393",38 L,2
1 BHK Apartment,Virar,730,"4,700",34.31 L,1
2 BHK Apartment,Virar,1000,"5,800",58 L,2
1 BHK Apartment,Virar,650,"4,769",31 L,1
1 BHK Apartment,Virar West,750,"3,333",25 L,1
2 BHK Apartment,Virar,940,"4,361",41 L,2
2 BHK Apartment,Virar,880,"5,284",46.5 L,2
1 BHK Apartment,Virar,700,"4,285",30 L,1
3 BHK Apartment,Virar,1240,"5,241",65 L,3
1 BHK Apartment,Kandivali West,340,"11,029",37.5 L,1
1 BHK Apartment,Kandivali West,340,"10,588",36 L,1
1 BHK Apartment,Kandivali West,340,"10,588",36 L,1
1 BHK Apartment,Malad West,390,"12,820",50 L,1
1 BHK Apartment,Kandivali West,340,"10,882",37 L,1
2 BHK Apartment,Goregaon East,800,"14,375",1.15 Cr,2
2 BHK Apartment,Kalyan East,780,"6,794",53 L,2
2 BHK Apartment,Malad West,990,"15,050",1.49 Cr,2
1 BHK Apartment,Dombivali East,750,"4,466",33.5 L,1
1 BHK Apartment,Bhiwandi,587,"6,132",36 L,1
3 BHK Apartment,Malad East,2225,"22,471",5 Cr,3
1 BHK Apartment,Dombivali,525,"7,876",41.35 L,1
2 BHK Apartment,Dombivali,724,"9,088",65.8 L,2
1 BHK Apartment,Dombivali,468,"8,162",38.2 L,1
2 BHK Apartment,Dombivali,667,"9,439",62.96 L,2
2 BHK Apartment,Virar,950,"4,736",44.99 L,2
1 BHK Apartment,Virar,422,"9,004",38 L,1
1 BHK Apartment,Virar,410,"8,292",34 L,1
1 BHK Apartment,Virar,389,"7,712",30 L,1
1 BHK Apartment,Virar,402,"7,711",31 L,1
1 BHK Apartment,Virar,389,"8,226",32 L,1
1 BHK Apartment,Virar,436,"8,944",39 L,1
1 BHK Apartment,Virar,389,"7,969",31 L,1
1 BHK Apartment,Virar,425,"9,647",41 L,1
1 BHK Apartment,Virar,364,"7,692",27.99 L,1
2 BHK Apartment,Dombivali,656,"10,740",70.45 L,2
2 BHK Apartment,Dombivali,540,"10,740",58 L,2
2 BHK Apartment,Dombivali,572,"10,740",61.43 L,2
1 BHK Apartment,Dombivali,444,"10,135",45 L,1
3 BHK Apartment,Dombivali,759,"10,803",82 L,3
1 BHK Apartment,Dombivali,479,"10,135",48.54 L,1
1 BHK Apartment,Airoli,525,"12,000",63 L,1
1 BHK Apartment,Airoli,550,"10,545",58 L,1
1 BHK Apartment,Airoli,675,"10,370",70 L,1
2 BHK Apartment,Dombivali,572,"10,740",61.43 L,2
1 BHK Apartment,Dombivali,444,"10,135",45 L,1
3 BHK Apartment,Dombivali,759,"10,803",82 L,3
1 BHK Apartment,Dombivali,479,"10,135",48.54 L,1
1 BHK Apartment,Airoli,525,"12,000",63 L,1
1 BHK Apartment,Airoli,550,"10,545",58 L,1
1 BHK Apartment,Airoli,675,"10,370",70 L,1
2 BHK Apartment,Airoli,1050,"8,095",85 L,2
2 BHK Apartment,Airoli,1200,"10,833",1.3 Cr,2
2 BHK Apartment,Airoli,1050,"11,904",1.25 Cr,2
1 BHK Apartment,Dighe,750,"11,733",88 L,1
2 BHK Apartment,Airoli,1250,"12,240",1.53 Cr,2
1 BHK Apartment,Airoli,600,"10,833",65 L,1
1 BHK Apartment,Airoli,600,"10,833",65 L,1
2 BHK Apartment,Airoli,1150,"10,869",1.25 Cr,2
1 BHK Apartment,Thane West,455,"18,681",85 L,1
1 BHK Apartment,Thakurli,600,"7,333",44 L,1
1 BHK Apartment,Thane West,660,"7,272",48 L,1
2 BHK Apartment,Thane West,600,"10,500",63 L,2
2 BHK Apartment,Thane West,900,"10,555",95 L,2
2 BHK Apartment,Thane West,850,"7,294",62 L,2
1 BHK Apartment,Virar,395,"9,896",39.09 L,1
1 BHK Apartment,Thane West,530,"7,735",41 L,1
2 BHK Apartment,Virar,492,"10,106",49.72 L,2
1 BHK Apartment,Virar,396,"9,894",39.18 L,1
1 BHK Apartment,Virar,393,"9,897",38.89 L,1
2 BHK Apartment,Thane West,850,"7,294",62 L,2
1 BHK Apartment,Virar,360,"9,899",35.63 L,1
1 BHK Apartment,Virar,359,"9,896",35.52 L,1
3 BHK Apartment,Virar,709,"10,114",71.71 L,3
1 BHK Apartment,Virar,394,"9,892",38.97 L,1
1 BHK Apartment,Thane West,640,"9,375",60 L,1
1 BHK Apartment,Virar,370,"9,898",36.62 L,1
3 BHK Apartment,Virar,685,"10,115",69.29 L,3
3 BHK Apartment,Virar,788,"9,353",73.7 L,3
2 BHK Apartment,Thane West,850,"7,411",63 L,2
2 BHK Apartment,Virar,483,"10,103",48.79 L,2
1 BHK Apartment,Virar,352,"9,895",34.83 L,1
2 BHK Apartment,Virar,497,"10,103",50.21 L,2
1 BHK Apartment,Virar,382,"9,897",37.8 L,1
2 BHK Apartment,Virar,499,"10,101",50.4 L,2
1 BHK Apartment,Virar,380,"9,892",37.58 L,1
1 BHK Apartment,Virar,398,"9,891",39.37 L,1
1 BHK Apartment,Virar,381,"9,892",37.69 L,1
3 BHK Apartment,Lower Parel,1470,"50,748",7.46 Cr,3
2 BHK Apartment,Lower Parel,737,"50,610",3.73 Cr,2
3 BHK Apartment,Lower Parel,1474,"50,610",7.46 Cr,3
2 BHK Apartment,Lower Parel,735,"50,748",3.73 Cr,2
2 BHK Apartment,Lower Parel,676,"47,189",3.19 Cr,2
2 BHK Apartment,Kurla,539,"21,892",1.18 Cr,2
3 BHK Apartment,Lower Parel,1352,"47,337",6.4 Cr,3
1 BHK Apartment,Kurla,444,"22,297",99 L,1
3 BHK Apartment,Lower Parel,1385,"46,209",6.4 Cr,3
2 BHK Apartment,Kurla,558,"22,043",1.23 Cr,2
2 BHK Apartment,Kurla,512,"22,265",1.14 Cr,2
2 BHK Apartment,Lower Parel,679,"46,980",3.19 Cr,2
1 BHK Apartment,Kurla,439,"22,323",98 L,1
2 BHK Apartment,Nilje Gaon,1503,"6,187",93 L,2
3 BHK Apartment,Dombivali,1180,"5,762",68 L,3
1 BHK Apartment,Palava,682,"5,131",35 L,1
3 BHK Apartment,Dombivali,1180,"5,762",68 L,3
1 BHK Apartment,Palava,682,"5,131",35 L,1
2 BHK Apartment,Dombivali,1098,"5,555",61 L,2
1 BHK Apartment,Nilje Gaon,585,"5,811",34 L,1
2 BHK Apartment,Dombivali,981,"4,791",47 L,2
2 BHK Apartment,Dombivali,1503,"5,788",87 L,2
2 BHK Apartment,Dombivali,1044,"5,651",59 L,2
2 BHK Apartment,Dombivali,864,"5,671",49 L,2
3 BHK Apartment,Dombivali,1098,"6,375",70 L,3
3 BHK Apartment,Dombivali,1699,"7,651",1.3 Cr,3
3 BHK Apartment,Dombivali,1699,"7,357",1.25 Cr,3
2 BHK Apartment,Dombivali,881,"5,107",45 L,2
3 BHK Apartment,Dombivali East,1098,"6,921",76 L,3
2 BHK Apartment,Koper Khairane,1000,"9,000",90 L,2
1 BHK Apartment,Dombivali East,648,"6,712",43.5 L,1
1 BHK Apartment,Koper Khairane,650,"6,923",45 L,1
3 BHK Apartment,Sion,967,"33,712",3.26 Cr,3
2 BHK Apartment,Sion,639,"33,646",2.15 Cr,2
3 BHK Apartment,Sion,938,"33,688",3.16 Cr,3
2 BHK Apartment,Sion,532,"33,646",1.79 Cr,2
2 BHK Apartment,Sewri,605,"41,322",2.5 Cr,2
2 BHK Apartment,Sewri,747,"44,712",3.34 Cr,2
3 BHK Apartment,Sion,958,"33,716",3.23 Cr,3
2 BHK Apartment,Sewri,781,"43,021",3.36 Cr,2
2 BHK Apartment,Sion,662,"33,685",2.23 Cr,2
2 BHK Apartment,Sewri,812,"47,906",3.89 Cr,2
3 BHK Apartment,Sion,1194,"33,668",4.02 Cr,3
2 BHK Apartment,Sewri,644,"42,236",2.72 Cr,2
2 BHK Apartment,Sion,602,"33,720",2.03 Cr,2
2 BHK Apartment,Sewri,611,"43,862",2.68 Cr,2
2 BHK Apartment,Wadala,673,"26,894",1.81 Cr,2
3 BHK Apartment,Sion,1334,"33,583",4.48 Cr,3
2 BHK Apartment,Sewri,821,"47,746",3.92 Cr,2
3 BHK Apartment,Wadala,965,"27,150",2.62 Cr,3
2 BHK Apartment,Sion,698,"33,667",2.35 Cr,2
2 BHK Apartment,Dombivali East,715,"3,776",27 L,2
1 BHK Apartment,Dombivali East,495,"3,797",18.8 L,1
2 BHK Apartment,Dombivali,930,"6,000",55.8 L,2
1 BHK Apartment,Dombivali,635,"5,924",37.62 L,1
1 BHK Apartment,Dombivali,662,"4,984",33 L,1
1 BHK Apartment,Dombivali,620,"4,000",24.8 L,1
2 BHK Apartment,Dombivali,800,"3,999",31.99 L,2
